[2018-03-07 10:56:10,891] [INFO] "GET / HTTP/1.1" 200 1774
[2018-03-07 10:56:11,082] [WARNING] Not Found: /favicon.ico
[2018-03-07 10:56:11,084] [WARNING] "GET /favicon.ico HTTP/1.1" 404 1942
[2018-03-07 10:56:13,750] [INFO] "GET /admin HTTP/1.1" 301 0
[2018-03-07 10:56:13,844] [INFO] "GET /admin/ HTTP/1.1" 302 0
[2018-03-07 10:56:13,954] [INFO] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3361
[2018-03-07 10:56:15,181] [INFO] "GET /static/suit/js/suit.js HTTP/1.1" 200 6415
[2018-03-07 10:56:15,183] [INFO] "GET /static/suit/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 15732
[2018-03-07 10:56:15,187] [INFO] "GET /static/suit/css/suit.css HTTP/1.1" 200 62873
[2018-03-07 10:56:15,187] [INFO] "GET /static/suit/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 107369
[2018-03-07 10:56:15,188] [INFO] "GET /static/suit/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
[2018-03-07 10:56:15,230] [INFO] "GET /static/suit/bootstrap/img/glyphicons-halflings-white.png HTTP/1.1" 200 8777
[2018-03-07 10:56:15,243] [INFO] "GET /static/suit/bootstrap/img/glyphicons-halflings.png HTTP/1.1" 200 12799
[2018-03-07 10:57:17,539] [INFO] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2018-03-07 10:57:19,473] [INFO] "GET /admin/ HTTP/1.1" 200 10552
[2018-03-07 10:57:19,487] [INFO] "GET /static/suit/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[2018-03-07 10:57:19,492] [INFO] "GET /static/suit/css/suit.css HTTP/1.1" 304 0
[2018-03-07 10:57:19,494] [INFO] "GET /static/suit/js/jquery-2.2.4.min.js HTTP/1.1" 304 0
[2018-03-07 10:57:19,494] [INFO] "GET /static/suit/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[2018-03-07 10:57:19,496] [INFO] "GET /static/suit/js/suit.js HTTP/1.1" 304 0
[2018-03-07 10:57:19,535] [INFO] "GET /static/suit/img/bg_left_white.gif HTTP/1.1" 200 105
[2018-03-07 10:57:19,538] [INFO] "GET /static/suit/bootstrap/img/glyphicons-halflings.png HTTP/1.1" 304 0
[2018-03-07 10:57:19,542] [INFO] "GET /static/suit/img/glyphicons-halflings-white-nav.png HTTP/1.1" 200 40145
[2018-03-07 10:57:19,545] [INFO] "GET /static/suit/img/glyphicons-halflings-white-shadow.png HTTP/1.1" 200 27257
[2018-03-07 10:57:19,545] [INFO] "GET /static/suit/img/cc_active_nav.png HTTP/1.1" 200 432
[2018-03-07 10:57:23,487] [INFO] "GET /admin/walletapi/transactionsid/ HTTP/1.1" 200 8778
[2018-03-07 10:57:23,523] [INFO] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
[2018-03-07 10:57:23,532] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 7758
[2018-03-07 10:57:23,542] [INFO] "GET /static/admin/js/core.js HTTP/1.1" 200 7976
[2018-03-07 10:57:23,545] [INFO] "GET /static/admin/js/actions.js HTTP/1.1" 200 6501
[2018-03-07 10:57:23,552] [INFO] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6577
[2018-03-07 10:57:23,555] [INFO] "GET /static/admin/js/urlify.js HTTP/1.1" 200 8186
[2018-03-07 10:57:23,565] [INFO] "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1538
[2018-03-07 10:57:23,572] [INFO] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 258648
[2018-03-07 10:57:23,601] [INFO] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
[2018-03-07 10:57:23,621] [INFO] "GET /static/suit/bootstrap/img/glyphicons-halflings-white.png HTTP/1.1" 304 0
[2018-03-07 10:57:25,150] [INFO] "GET /admin/walletapi/apicallback/ HTTP/1.1" 200 8796
[2018-03-07 10:57:25,167] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 7758
[2018-03-07 10:57:26,188] [INFO] "GET /admin/walletapi/cointype/ HTTP/1.1" 200 8790
[2018-03-07 10:57:26,209] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 7758
[2018-03-07 10:59:10,694] [INFO] "GET /admin/auth/user/ HTTP/1.1" 200 14401
[2018-03-07 10:59:10,711] [INFO] "GET /static/suit/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[2018-03-07 10:59:10,717] [INFO] "GET /static/suit/css/suit.css HTTP/1.1" 304 0
[2018-03-07 10:59:10,721] [INFO] "GET /static/suit/js/jquery-2.2.4.min.js HTTP/1.1" 304 0
[2018-03-07 10:59:10,723] [INFO] "GET /static/suit/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[2018-03-07 10:59:10,730] [INFO] "GET /static/suit/js/suit.js HTTP/1.1" 304 0
[2018-03-07 10:59:10,733] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 7758
[2018-03-07 10:59:10,740] [INFO] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
